"MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","SaleType","SaleCondition","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold"
"RM","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","PConc","TA","TA","Mn","Unf","Unf","GasA","TA","N","SBrkr","TA","Typ","TA","Detchd","Unf","Fa","Fa","N","Fa","GdWo","Shed","WD","Normal",70,60,6402,5,5,1920,1950,0,0,0,596,596,596,596,0,1192,0,0,1,0,3,1,6,0,1920,1,189,0,0,137,0,0,0,0,7,2009
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","GLQ","Rec","GasA","TA","Y","SBrkr","TA","Typ","TA","Detchd","Unf","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",90,63,10624,5,4,1964,1964,84,40,264,1424,1728,1728,0,0,1728,0,1,2,0,6,2,10,0,2002,1,352,155,0,0,0,0,0,0,11,2007
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Fa","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","GdWo","Shed","WD","Normal",20,70,8176,5,6,1958,1992,0,846,0,210,1056,1056,0,0,1056,1,0,1,0,3,1,6,0,1958,1,308,0,0,0,0,0,0,0,8,2007
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",20,85,10655,8,5,2003,2004,296,1124,479,1603,3206,1629,0,0,1629,1,0,2,0,3,1,7,1,2003,3,880,0,0,0,0,0,0,0,10,2009
"RM","Pave","Pave","Reg","Lvl","AllPub","FR3","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","GdPrv","Shed","WD","Normal",120,59,8198,7,5,2004,2004,146,720,0,638,1358,1358,0,0,1358,1,0,2,0,2,1,6,1,2004,2,484,192,30,0,0,0,0,0,7,2008
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",60,59,9042,6,5,1998,1998,0,828,0,115,943,943,695,0,1638,1,0,2,1,3,1,7,2,1998,2,472,100,38,0,0,0,0,0,7,2008
"RL","Grvl","Grvl","IR1","HLS","AllPub","Corner","Sev","Timber","Norm","Norm","2fmCon","1.5Fin","Gable","CompShg","Plywood","Plywood","None","TA","TA","CBlock","TA","TA","Gd","ALQ","BLQ","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",190,105,164660,5,6,1965,1965,0,1249,147,103,1499,1619,167,0,1786,2,0,2,0,3,1,7,2,1965,2,529,670,0,0,0,0,0,700,8,2008
"RL","Pave","Pave","IR1","HLS","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",20,86,14157,9,5,2005,2006,200,1249,0,673,1922,1922,0,0,1922,1,0,2,0,3,1,8,1,2005,3,676,178,51,0,0,0,0,0,7,2007
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",20,70,9135,7,5,2002,2003,113,810,0,726,1536,1536,0,0,1536,1,0,2,0,3,1,7,0,2002,2,532,192,74,0,0,0,0,0,12,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","NWAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","TA","CBlock","Gd","TA","Mn","ALQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",20,91,14145,7,7,1984,1998,0,213,0,995,1208,1621,0,0,1621,1,0,2,0,3,1,8,0,1984,2,440,108,45,0,0,0,0,400,5,2006
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","Fa","No","Rec","Unf","GasA","TA","Y","FuseA","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Gd","GdPrv","Shed","WD","Normal",20,66,12400,6,7,1958,1998,176,585,0,630,1215,1215,0,0,1215,0,0,1,0,3,1,6,0,1958,1,297,0,0,0,0,234,0,0,6,2009
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",60,85,14191,8,5,2002,2002,0,0,0,967,967,993,915,0,1908,0,0,2,1,4,1,9,0,2002,2,431,135,0,0,0,0,0,0,4,2010
"RH","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Feedr","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","AsbShng","None","Fa","Fa","CBlock","TA","Fa","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","CarPort","Unf","TA","TA","N","Fa","GdPrv","Shed","WD","Normal",20,60,8400,4,4,1950,1950,0,0,0,721,721,841,0,0,841,0,0,1,0,2,1,4,0,1950,1,294,250,0,24,0,0,0,0,9,2009
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story","Gable","CompShg","Stucco","Stucco","BrkFace","TA","TA","Slab","TA","TA","No","Unf","Unf","Wall","Fa","N","FuseA","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",90,60,8544,3,4,1949,1950,340,0,0,0,0,1040,0,0,1040,0,0,2,0,2,2,6,0,1949,2,400,0,0,0,0,0,0,0,5,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","RFn","TA","TA","Y","Gd","GdWo","Shed","WD","Normal",120,63,8849,9,5,2005,2005,616,28,0,1656,1684,1684,0,0,1684,0,0,2,0,2,1,6,1,2005,2,564,495,72,0,0,0,0,0,7,2008
"RM","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","2Story","Gable","CompShg","CemntBd","CmentBd","None","TA","TA","CBlock","Gd","TA","No","Rec","BLQ","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",160,36,2592,5,3,1976,1976,0,129,232,175,536,536,576,0,1112,0,0,1,1,3,1,4,0,1976,1,336,182,0,0,0,0,0,0,4,2010
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","Fa","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",50,65,6435,6,5,1939,1950,0,0,0,972,972,972,605,0,1577,0,0,1,0,3,1,6,1,1939,1,312,0,0,0,0,0,0,0,10,2006
"RL","Pave","Grvl","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","Mn","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","GdWo","Gar2","WD","Normal",20,44,12772,6,8,1960,1998,0,498,0,460,958,958,0,0,958,0,0,1,0,2,1,5,0,1960,1,301,0,0,0,0,0,0,15500,4,2007
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","Ex","Y","FuseA","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",20,60,17600,6,5,1960,1960,30,1270,0,208,1478,1478,0,0,1478,1,0,2,0,3,1,6,2,1960,2,498,0,40,0,0,0,0,0,12,2009
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story","Gable","CompShg","VinylSd","Wd Shng","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","Gd","GdPrv","Othr","WD","Normal",160,36,2448,7,5,2003,2004,106,573,0,191,764,764,862,0,1626,1,0,2,1,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,10,2008
"RL","Pave","Pave","IR2","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Hip","CompShg","CemntBd","CmentBd","BrkFace","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","New","Partial",60,56,20431,9,5,2005,2006,870,1410,0,438,1848,1848,880,0,2728,1,0,2,1,4,1,10,2,2006,3,706,0,0,0,0,0,0,0,4,2006
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","Ex","TA","PConc","Ex","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","GdPrv","Shed","New","Partial",120,68,7820,9,5,2007,2007,362,0,0,1869,1869,1869,0,0,1869,0,0,2,0,2,1,6,1,2007,2,617,210,54,0,0,0,0,0,12,2007
"RL","Pave","Pave","IR1","Low","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Fa","MnPrv","Shed","WD","Abnorml",120,50,5271,7,5,1986,1986,0,1082,0,371,1453,1453,0,0,1453,1,0,1,1,2,1,6,1,1986,2,445,0,80,0,0,184,0,0,12,2006
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","Fa","Mn","LwQ","Rec","GasA","TA","N","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","Fa","Y","Ex","MnPrv","Shed","ConLw","Normal",50,60,9084,5,6,1941,1950,0,236,380,0,616,616,495,0,1111,0,1,1,0,3,1,5,0,1941,1,200,48,0,0,0,0,0,0,3,2008
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","Gd","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","Y","Gd","GdWo","Shed","WD","Normal",30,60,8520,6,8,1928,2003,0,0,0,624,624,720,0,0,720,0,0,1,0,2,1,5,0,2005,2,484,106,0,0,0,0,0,0,5,2010
"RL","Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","MetalSd","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",50,60,8400,6,5,1940,2000,0,388,0,552,940,1192,403,0,1595,0,0,1,0,2,1,6,2,1940,1,240,0,0,108,0,0,0,0,6,2006
"RL","Pave","Pave","IR2","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","Gd","PConc","Gd","Gd","No","ALQ","BLQ","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",20,105,11249,6,5,1995,1995,0,334,544,322,1200,1200,0,0,1200,1,0,2,0,3,1,6,0,1995,2,521,0,26,0,0,0,0,0,8,2007
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Gar2","WD","Normal",20,69,9248,6,6,1992,1992,106,560,0,598,1158,1167,0,0,1167,1,0,2,0,3,1,6,0,1992,2,400,120,26,0,0,0,0,0,7,2009
"RM","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story","Gable","CompShg","CemntBd","CmentBd","None","TA","TA","PConc","Gd","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Po","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Gar2","WD","Normal",120,44,4224,5,5,1976,1976,0,874,0,268,1142,1142,0,0,1142,1,0,1,1,3,1,6,1,1976,2,528,536,90,0,0,0,0,0,8,2007
"RL","Pave","Grvl","IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","SLvl","Hip","CompShg","Wd Sdng","ImStucc","BrkFace","TA","TA","CBlock","TA","TA","Av","BLQ","Rec","GasA","Ex","Y","FuseF","Gd","Min2","Gd","BuiltIn","Unf","TA","TA","Y","Fa","MnPrv","Shed","WD","Abnorml",80,92,6930,5,4,1958,1958,120,300,294,468,1062,1352,0,0,1352,0,1,1,0,3,1,6,0,1958,1,288,168,0,294,0,0,0,0,7,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",60,78,12011,8,5,1998,1998,530,956,0,130,1086,1086,838,0,1924,1,0,2,1,3,1,7,1,1998,2,592,208,75,0,0,374,0,0,6,2006
"RL","Pave","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",85,41,7540,6,6,1978,1978,0,773,0,115,888,912,0,0,912,1,0,1,0,2,1,5,1,1978,2,470,0,0,0,0,192,0,0,6,2007
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Detchd","Unf","TA","TA","N","Gd","MnPrv","Shed","WD","Normal",50,52,9144,5,5,1940,1982,0,399,0,484,883,988,517,0,1505,1,0,1,0,3,1,8,0,1940,1,240,0,0,0,0,0,0,0,7,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","SFoyer","Gable","CompShg","HdBoard","HdBoard","BrkFace","Gd","TA","Slab","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Ex","BuiltIn","RFn","TA","TA","Y","Fa","MnPrv","Shed","ConLD","Normal",85,64,7301,7,5,2003,2003,500,0,0,0,0,495,1427,0,1922,0,0,3,0,4,1,7,1,2003,2,672,0,0,177,0,0,0,0,7,2009
"RM","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","TA","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",160,21,1680,6,8,1972,2007,510,162,0,321,483,483,504,0,987,0,0,1,1,2,1,5,0,1972,1,264,250,0,0,0,0,0,0,5,2009
"RL","Pave","Pave","IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",60,48,18800,6,5,1976,1976,120,712,0,84,796,790,784,0,1574,1,0,2,1,3,1,6,1,1976,2,566,306,111,0,0,0,0,0,7,2006
"RM","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story","Hip","CompShg","VinylSd","VinylSd","None","TA","Gd","CBlock","TA","Fa","No","Rec","Unf","GasA","Gd","Y","FuseA","TA","Typ","Gd","Detchd","Unf","TA","Fa","Y","Fa","MnPrv","Shed","WD","Normal",70,59,10690,5,7,1920,1997,0,456,0,216,672,672,672,0,1344,0,0,1,0,3,1,6,0,1964,1,468,0,128,218,0,0,0,0,7,2009
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","No","BLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","Fa","MnPrv","Shed","WD","Normal",20,75,9500,6,5,1963,1963,247,609,0,785,1394,1394,0,0,1394,1,0,1,1,3,1,6,2,1963,2,514,0,76,0,0,185,0,0,7,2009
"RL","Pave","Grvl","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","SLvl","Gable","Tar&Grv","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","Gd","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Basment","RFn","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",80,101,9150,6,5,1962,1962,305,371,0,728,1099,1431,0,0,1431,0,1,1,0,3,1,6,1,1962,1,296,64,110,0,0,0,0,0,12,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","TA","TA","No","LwQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Gd","Attchd","Fin","TA","TA","Y","Ex","MnPrv","Shed","WD","Normal",20,78,7800,5,6,1954,1954,200,540,0,728,1268,1268,0,0,1268,0,0,1,0,2,1,7,1,1954,1,244,0,98,0,0,0,0,0,3,2010
"RL","Pave","Grvl","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","Gd","CBlock","TA","TA","No","ALQ","Rec","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Detchd","Fin","TA","TA","Y","Fa","MnPrv","Shed","WD","Normal",20,85,9830,5,7,1959,2006,0,72,258,733,1063,1287,0,0,1287,1,0,1,0,3,1,7,1,1997,2,576,364,17,0,0,182,0,0,3,2010
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",60,60,8121,6,5,2000,2000,0,0,0,953,953,953,711,0,1664,0,0,2,1,3,1,7,1,2000,2,460,100,40,0,0,0,0,0,1,2006
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Feedr","Norm","1Fam","1.5Fin","Gable","CompShg","WdShing","Plywood","None","TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","TA","Y","SBrkr","TA","Min2","Gd","Detchd","Fin","TA","TA","N","Gd","MnPrv","Shed","WD","Normal",50,80,17120,4,4,1959,1959,0,0,0,0,0,1120,468,0,1588,0,0,2,0,4,1,7,1,1991,2,680,0,59,0,0,0,0,0,7,2008
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story","Gable","CompShg","Plywood","Plywood","None","TA","TA","CBlock","Gd","TA","No","ALQ","LwQ","GasA","TA","Y","SBrkr","TA","Typ","Fa","Attchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",120,50,7175,6,5,1984,1984,0,623,121,0,744,752,0,0,752,1,0,1,0,2,1,4,0,1984,1,264,353,0,0,0,90,0,0,2,2010
"RL","Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","PConc","TA","TA","No","BLQ","LwQ","GasA","TA","Y","SBrkr","TA","Min2","TA","Attchd","Unf","TA","TA","Y","Fa","GdWo","Shed","WD","Normal",20,79,10634,5,6,1953,1953,0,428,180,0,608,1319,0,0,1319,1,0,1,0,3,1,5,0,1953,1,270,66,0,0,0,0,0,0,11,2009
"RL","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","Ex","GdWo","Shed","WD","Normal",60,65,8200,7,5,2003,2004,0,0,0,847,847,847,1081,0,1928,0,0,2,1,4,1,8,1,2003,2,434,100,48,0,0,0,0,0,7,2007
"RL","Pave","Pave","IR1","Low","AllPub","Inside","Sev","Edwards","Norm","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","Fa","Fa","BrkTil","Fa","Po","Gd","BLQ","Unf","GasA","Gd","N","FuseA","Fa","Maj1","TA","Attchd","Unf","TA","TA","Y","Fa","MnPrv","Shed","WD","Normal",30,60,10020,1,1,1922,1950,0,350,0,333,683,904,0,0,904,1,0,0,1,1,1,4,0,1960,0,0,0,0,0,0,0,0,0,3,2009
"RL","Pave","Grvl","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","SFoyer","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Detchd","Unf","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",85,57,8846,5,5,1996,1996,0,298,0,572,870,914,0,0,914,0,0,1,0,2,1,5,0,1998,2,576,0,0,0,0,0,0,0,7,2006
"FV","Pave","Pave","IR1","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story","Gable","CompShg","CemntBd","CmentBd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","Ex","GdWo","Othr","WD","Normal",60,102,11143,8,5,2004,2005,0,0,0,1580,1580,1580,886,0,2466,0,0,3,0,4,1,8,1,2004,2,610,159,214,0,0,0,0,0,12,2007
"RL","Pave","Pave","Reg","Lvl","AllPub","Corner","Gtl","StoneBr","Norm","Norm","1Fam","1Story","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","Fa","MnPrv","Shed","New","Partial",20,88,11394,9,2,2010,2010,350,1445,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,6,2010
"RL","Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","Gd","MnPrv","Shed","WD","Normal",60,60,8123,6,5,2000,2000,16,0,0,982,982,1007,793,0,1800,0,0,2,1,3,1,7,1,2000,2,463,100,63,0,0,0,0,0,6,2009
